"matricula","carrera","periodo","numRepPrev","año","semestre","cantidad_asig","tasa_rep_carga","ceneval_global","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","generacion","tasa_aprob_per_prev","tasa_aprob_gral_prev","asigMuchas","cuartil_repEst","asigRep_totalAsig","carrera_IA","carrera_IDeIO","carrera_ILyCS","carrera_II","carrera_IE","carrera_NI","carrera_TS","semestre_Otoño","complejidad_carga4","complejidad_carga5","año_encurso","carga_aprobada","recursando","total_recursando","depto","practicante","situacion","situacion_Condicionado","situacion_Irregular","situacion_Regular","depto_EyN","depto_TSGyH"
106466896,"Negocios Internacionales",201601,0,2016,"Primavera",1,6.38297872340425,1036,1120,1030,1060,1120,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,7,1,0,0,"EyN",0,"Regular",0,0,1,1,0
106466897,"Ingeniería en Logística y Cadena de Suministro",201601,0,2016,"Primavera",5,14.4471301999619,940,970,910,940,1030,8.44444444444444,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,3,2,7,0,0,0,"CBeI",0,"Regular",0,0,1,0,0
106466897,"Ingeniería en Logística y Cadena de Suministro",201801,1,2018,"Primavera",5,15.6082879964138,940,970,910,940,1030,6.66666666666667,2010,0,0,0,3,0.333333333333333,0,0,1,0,0,0,0,0,4,1,9,1,1,4,"CBeI",0,"Irregular",0,1,0,0,0
116466020,"Gastronomía",201603,0,2016,"Otoño",3,12.67147578046,1012,970,1030,1030,970,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,6,0,0,0,"TSGyH",0,"Regular",0,0,1,0,1
116466022,"Innovación Empresarial",201601,0,2016,"Primavera",3,5.05697799688409,1108,1180,1030,1060,1120,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,6,1,0,0,"EyN",0,"Regular",0,0,1,1,0
116466037,"Innovación Empresarial",201601,0,2016,"Primavera",3,7.81409746814097,1066,1120,1030,1090,1060,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,6,1,0,0,"EyN",0,"Regular",0,0,1,1,0
116466037,"Innovación Empresarial",201603,0,2016,"Otoño",2,22.3892061583676,1066,1120,1030,1090,1060,8.33333333333333,2011,1,1,0,1,0,0,0,0,0,1,0,0,1,4,1,6,1,0,0,"EyN",1,"Regular",0,0,1,1,0
116466043,"Negocios Internacionales",201601,0,2016,"Primavera",5,7.55204226993966,1024,1090,940,1060,1030,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,6,1,0,0,"EyN",1,"Regular",0,0,1,1,0
116466044,"Negocios Internacionales",201601,0,2016,"Primavera",8,6.89153356417633,1078,1030,970,1120,1180,8.44444444444444,2011,0,0,1,1,0,0,0,0,0,0,1,0,0,3,2,6,1,0,0,"EyN",0,"Regular",0,0,1,1,0
116466044,"Negocios Internacionales",201603,0,2016,"Otoño",5,11.3095846832428,1078,1030,970,1120,1180,8.875,2011,1,1,0,1,0,0,0,0,0,0,1,0,1,2,1,6,0,0,0,"EyN",1,"Regular",0,0,1,1,0
